row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,entrez
ENSG00000001631,1.44687045138077,-0.0155896894380919,0.0861861225277097,-0.180883986665947,0.856458638304186,0.912327766684396,KRIT1,889
ENSG00000002016,1.13436470436083,-0.165323240033878,0.0807968675405803,-2.04615902900993,0.0407407268754347,0.0746491195697882,RAD52,5893
ENSG00000002330,3.16313232055946,0.259624550246905,0.103899894330827,2.49879513274802,0.0124616328705334,0.0261072072828581,BAD,572
ENSG00000002549,3.51536247506783,0.129570787462939,0.110500847344721,1.17257732023291,0.240965348742433,0.345315035345517,LAP3,51056
ENSG00000002586,1.69001655776875,-0.297614279397451,0.0871324810847854,-3.41565252925432,0.000636293828337792,0.00169211589384549,CD99,4267
ENSG00000002587,1.23378996227295,0.31378923492329,0.0867496862390212,3.61718005594519,0.00029783012931465,0.000830789308088234,HS3ST1,9957
ENSG00000002745,1.06051733699604,0.0142131163469448,0.0822322792235547,0.172841084804488,0.862776342008216,NA,WNT16,51384
ENSG00000002822,1.14126129374254,0.0910551299650604,0.0810801781997295,1.12302577506378,0.261426547760591,0.369915503880443,MAD1L1,8379
ENSG00000002834,6.73522898443155,-0.0251841644988878,0.12052577989889,-0.208952512234436,0.83448530999583,0.898024800604649,LASP1,3927
ENSG00000002919,1.52938342534097,-0.805076774839879,0.0850961009067323,-9.46079510414074,3.05610404920672e-21,4.28421825181137e-20,SNX11,29916
ENSG00000002933,1.14612811974037,0.103594464397141,0.0818497658118735,1.26566598413056,0.205632691551361,0.302773905776367,TMEM176A,55365
ENSG00000003056,2.18054483559542,-0.0171775103927457,0.0872111193854961,-0.196964681955481,0.843855176058658,0.903243100708898,M6PR,4074
ENSG00000003096,1.06784161191488,0.0119820538682297,0.0819465707481802,0.146217880246024,0.883749390862882,NA,KLHL13,90293
ENSG00000003147,3.2831337606129,-0.226242654040815,0.112799035605865,-2.00571443563877,0.0448867241503345,0.0810900246124446,ICA1,3382
ENSG00000003393,1.44607922687063,0.574295509499484,0.0917985571014722,6.25604070077779,3.94873734347902e-10,2.19689420159303e-09,ALS2,57679
ENSG00000003400,1.44729639951123,0.124303122483779,0.0830351798394556,1.49699347582691,0.13439495566851,0.210666577286065,CASP10,843
ENSG00000003402,66.132012710117,-0.488496834528795,0.142404133200787,-3.43035573159963,0.000602790421294293,0.00160939448760942,CFLAR,8837
ENSG00000003436,58.031234606971,-0.924450595182868,0.158620138331907,-5.82807835691384,5.60692526745083e-09,2.73532841872732e-08,TFPI,7035
ENSG00000003509,1.51848665879055,-0.341810911139174,0.0869818440548099,-3.92968112890075,8.505858390324e-05,0.000255874515281741,NDUFAF7,55471
ENSG00000003756,3.85651545066783,-4.97205725610869e-05,0.111209010739024,-0.000447091222470875,0.999643272828204,0.999914119078662,RBM5,10181
ENSG00000003989,1.95369661736988,-0.562805299275342,0.0968553707324357,-5.81078049693392,6.21822509725466e-09,3.02135231504726e-08,SLC7A2,6542
ENSG00000004059,12.4970922654285,-0.231735915224486,0.1342904801805,-1.7256317418257,0.0844136850857447,0.140233017676126,ARF5,381
ENSG00000004142,3.13749084663946,-0.470229613594799,0.109479064858508,-4.29515555510572,1.74570886628872e-05,5.78583267697006e-05,POLDIP2,26073
ENSG00000004399,3.03803606761102,-0.566036311593023,0.0986131209201537,-5.73996955284823,9.46935743963282e-09,4.51926205768258e-08,PLXND1,23129
ENSG00000004455,29.2177227954137,-0.994258159056615,0.15446030627858,-6.43698166222333,1.21872650918895e-10,7.1179754166454e-10,AK2,204
ENSG00000004478,8.35018065711468,-0.813392529984274,0.120302411987884,-6.7612321028625,1.36823124406141e-11,8.70653309807167e-11,FKBP4,2288
ENSG00000004487,2.31884363392488,-0.175238447867956,0.0961686944495099,-1.82219846979372,0.0684248766919343,0.116786187845386,KDM1A,23028
ENSG00000004534,15.8199899097987,-0.714595263780251,0.144876681784697,-4.93243809132944,8.12095228090732e-07,3.17276389791413e-06,RBM6,10180
ENSG00000004660,1.07513276064739,0.0189150427387021,0.0817191753111598,0.231463945477666,0.816954392283926,NA,CAMKK1,84254
ENSG00000004700,2.18628759224364,0.156020335176519,0.0849947446685616,1.83564684834249,0.0664099036501081,0.1137809833699,RECQL,5965
ENSG00000004779,11.5009009066958,-0.556609436128915,0.12898729786571,-4.31522673425104,1.59439172104437e-05,5.30907400305875e-05,NDUFAB1,4706
ENSG00000004799,7.10655130356894,0.31522781841237,0.119604294914404,2.6355894546928,0.00839912837503942,0.0182315551075941,PDK4,5166
ENSG00000004864,2.0832388183543,0.744010617368737,0.0965832740528885,7.70330706496158,1.32589233988453e-14,1.12356823528504e-13,SLC25A13,10165
ENSG00000004866,1.87575597707082,0.976547990360617,0.102344201595898,9.54180085567014,1.40373218097053e-21,2.01936900891046e-20,ST7,7982
ENSG00000004866,1.87575597707082,0.976547990360617,0.102344201595898,9.54180085567014,1.40373218097053e-21,2.01936900891046e-20,ST7,93655
ENSG00000004897,14.5491950597567,-1.3160954461299,0.145885098782523,-9.02145220528556,1.85612220177767e-19,2.2794086063294e-18,CDC27,996
ENSG00000004961,1.67989400972311,0.425285238599565,0.087078021018727,4.88395617658908,1.03978193874431e-06,4.01172571768399e-06,HCCS,3052
ENSG00000004975,1.21477739829612,-0.15585381333073,0.077976889251204,-1.99871801539356,0.045638872652687,0.082276613029251,DVL2,1856
ENSG00000005007,3.71844002059152,-0.31693183516389,0.110447294382767,-2.86953009519208,0.00411082210490185,0.00952178921135404,UPF1,5976
ENSG00000005020,2.72757161347967,-1.63616862589122,0.0954115212900357,-17.1485435277521,6.44475674667141e-66,2.22509830076507e-63,SKAP2,8935
ENSG00000005022,91.4040544930946,-0.353813336773662,0.153401615950063,-2.30645117121086,0.0210854355268636,0.0417015389372536,SLC25A5,292
ENSG00000005059,2.82076376532825,-1.649879670327,0.0960933844682194,-17.169544807454,4.48926622274859e-66,1.59553803046159e-63,CCDC109B,55013
ENSG00000005075,4.54234118444514,0.300940450733887,0.110075013642581,2.73395787813439,0.00625780492109703,0.0139364752426348,POLR2J,5439
ENSG00000005100,1.97611527886727,-0.209421777843246,0.0933084693529053,-2.24440267100711,0.0248065048203044,0.0481081374175186,DHX33,56919
ENSG00000005102,4.75007612309761,0.0732892471752679,0.115866243447714,0.632533212387615,0.527038513216798,0.645065673423659,MEOX1,4222
ENSG00000005108,1.18585671009293,-0.0502262245917373,0.078271458164454,-0.641692716216023,0.521072719458485,0.639512770864953,THSD7A,221981
ENSG00000005156,1.19511791293832,0.0332013097786919,0.0797312418614933,0.416415309777418,0.67710612745717,0.778066797659989,LIG3,3980
ENSG00000005175,1.5390347941087,-0.126403668693144,0.0833594933628679,-1.516368005536,0.12942632448557,0.203803453881108,RPAP3,79657
ENSG00000005189,1.06455923970125,0.0186019914682228,0.0821069029041024,0.2265581919458,0.820767304921391,NA,AC004381.6,81691
ENSG00000005194,2.8070359673069,-1.34914302604434,0.101981652154123,-13.2292721048037,5.94604186735954e-40,3.40530663152477e-38,CIAPIN1,57019
ENSG00000005206,1.27606814079745,-0.282362058696889,0.0813343625630168,-3.47162072461216,0.000517326664221057,0.00139477363017565,SPPL2B,56928
