row,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,entrez
ENSG00000002919,0.805076665549073,0.0850965822463483,9.46074030586136,3.05770618297137e-21,4.28646421288004e-20,SNX11,29916
ENSG00000002933,-0.103594420406525,0.0818509265785977,-1.26564749767429,0.20563931292949,0.302783655104174,TMEM176A,55365
ENSG00000003056,0.0171775206327666,0.0872111913969162,0.196964636735533,0.843855211445831,0.903243576447281,M6PR,4074
ENSG00000003096,-0.0119820508288432,0.0819473056318834,-0.14621653190976,0.883750455240622,NA,KLHL13,90293
ENSG00000003147,0.226242672812167,0.112798906289123,2.00571690147658,0.0448864609151458,0.0810895490654241,ICA1,3382
ENSG00000003393,-0.574295423374131,0.0917990989463381,-6.25600283625703,3.94969565216149e-10,2.19742736006996e-09,ALS2,57679
ENSG00000003400,-0.124303062531601,0.0830357932916994,-1.49698169432708,0.134398021298901,0.210671382718371,CASP10,843
ENSG00000003402,0.48849695893457,0.142404138922428,3.43035646738238,0.000602788786573426,0.00160948586963025,CFLAR,8837
ENSG00000003436,0.924450745908379,0.158620145301408,5.82807905106724,5.60690195094557e-09,2.73531704381212e-08,TFPI,7035
ENSG00000003509,0.341810921589793,0.086982348654729,3.92965845227508,8.5066605570459e-05,0.000255898646182083,NDUFAF7,55471
ENSG00000003756,4.97436772564683e-05,0.111208806058893,0.000447299804928447,0.999643106403499,0.999913660786179,RBM5,10181
ENSG00000003989,0.562805301316361,0.0968555512058794,5.81076969062974,6.21862653424018e-09,3.02154736790343e-08,SLC7A2,6542
ENSG00000004059,0.231735981779423,0.134290485653986,1.72563216709571,0.0844136085291623,0.140232890495793,ARF5,381
ENSG00000004142,0.470229630145703,0.109478925625718,4.29516116876507,1.74566469194186e-05,5.78568626917868e-05,POLDIP2,26073
ENSG00000004399,0.566036329053812,0.0986130039119547,5.73997654061112,9.46896672023286e-09,4.51907558638601e-08,PLXND1,23129
ENSG00000004455,0.994258278409681,0.154460314149577,6.43698210691748,1.21872294005433e-10,7.11795457110515e-10,AK2,204
ENSG00000004478,0.813392575753208,0.120302396369564,6.76123336109197,1.36821935978524e-11,8.70645747427324e-11,FKBP4,2288
ENSG00000004487,0.175238460303848,0.096168720251563,1.82219811021141,0.0684249312327006,0.116786280934457,KDM1A,23028
ENSG00000004534,0.714595349787881,0.144876690943603,4.93243837316835,8.12094055956583e-07,3.17275931851903e-06,RBM6,10180
ENSG00000004660,-0.018915049241656,0.0817199038868068,-0.23146196143177,0.816955933480699,NA,CAMKK1,84254
ENSG00000004700,-0.156020320432991,0.084994815193392,-1.8356451517424,0.0664101547352543,0.113781413557467,RECQL,5965
ENSG00000004779,0.55660949633355,0.128987301039947,4.31522709480656,1.59438911864688e-05,5.30906533748384e-05,NDUFAB1,4706
ENSG00000004799,-0.315227779148313,0.119604265088792,-2.63558978364437,0.00839912023371517,0.0182348129544043,PDK4,5166
ENSG00000004864,-0.744010600638064,0.0965833811090121,-7.70329835314329,1.32598277604239e-14,1.1236448713672e-13,SLC25A13,10165
ENSG00000004866,-0.976547940572212,0.102344406002927,-9.54178131186073,1.4039967932453e-21,2.0197496725686e-20,ST7,7982
ENSG00000004866,-0.976547940572212,0.102344406002927,-9.54178131186073,1.4039967932453e-21,2.0197496725686e-20,ST7,93655
ENSG00000004897,1.31609553128719,0.145885107281102,9.02145226346678,1.85612121584511e-19,2.27940739555613e-18,CDC27,996
ENSG00000004961,-0.425285200483714,0.0870783669162062,-4.88393633855075,1.03988661317833e-06,4.01212957651564e-06,HCCS,3052
ENSG00000004975,0.155853659735525,0.0779781500464995,1.99868372925733,0.045642584564807,0.0822795848513968,DVL2,1856
ENSG00000005007,0.316931852581074,0.110447092376289,2.86953550122712,0.00411075183309935,0.0095216264426246,UPF1,5976
ENSG00000005020,1.63616864211523,0.0954114560615565,17.1485554214751,6.44343796840995e-66,2.22464298315045e-63,SKAP2,8935
ENSG00000005022,0.353813491672291,0.153401620335222,2.3064521150371,0.0210853828439525,0.0417082609733708,SLC25A5,292
ENSG00000005059,1.64987968936397,0.0960933039967037,17.169559383873,4.48813904717477e-66,1.59513741900176e-63,CCDC109B,55013
ENSG00000005075,-0.300940421850478,0.110074871680037,-2.73396114169677,0.00625774289743385,0.0139389060225974,POLR2J,5439
ENSG00000005100,0.209421788919263,0.0933086322517309,2.24439887141715,0.0248067490696642,0.0481163331874514,DHX33,56919
ENSG00000005102,-0.0732892192226829,0.115866116608197,-0.63253366357752,0.52703821849033,0.645065312694941,MEOX1,4222
ENSG00000005108,0.0502262112732315,0.0782726456598208,0.641682810767873,0.521079152271841,0.639520665859529,THSD7A,221981
